Countries,Exchange Rate,Visa Issuances,Total Volume of Arrivals into US,Visa Refusal Rate,GDP per capita,International Tourism per capita,Consumption per Capita,Income Per Capita,Year
United Kingdom,1.6043,85675,3905195,27.3,27836.65071,1207.719044,35837.31862,36364.55421,2011
Japan,79.6967,71218,3329014,18.7,3951513.46,311.030798,37782.81039,38081.33916,2011
"Korea, South",1106.94,106994,1211197,7.5,26271145.85,444.4632416,15783.40136,19677.69496,2011
China,6.463,945040,1112287,12,38276.30871,54.00147307,2775.125918,4124.14412,2011
Brazil,1.6723,801371,1519009,3.8,20455.6445,124.5882999,10456.49633,10986.60762,2011
Germany,1.3931,63663,1874119,18.6,35987.16103,1243.712503,34263.72572,39671.91268,2011
France,1.3931,45779,1551027,23.9,32667.98259,848.9384749,34475.11722,37180.50512,2011
Australia,1.0332,34230,1052480,22.7,68451.67221,1520.454947,45341.93876,47843.28688,2011
Italy,1.3931,23023,907748,18.3,29048.29413,483.7869075,31239.25923,31385.78409,2011
India,46.5782,554267,696107,30.1,69874.5096,10.95666919,981.1813636,1258.540207,2011
United Kingdom,1.5853,85675,3805681,20.6,28052.59974,1247.890512,36234.8372,36083.52447,2012
Japan,79.818,75071,3771563,10.2,4017002.588,320.9850426,38344.3418,38612.86269,2012
"Korea, South",1126.1621,90927,1295069,13,26732478.68,456.8539274,16126.60101,19980.90589,2012
China,6.3093,1283250,1465503,8.5,41084.02141,75.49965018,3179.837047,4770.882242,2012
Brazil,1.9535,1049689,1772940,3.2,20663.16901,130.5050574,9888.839076,10327.38604,2012
Germany,1.2859,63241,1911441,16.4,36070.36785,1196.543553,32535.81875,37241.18439,2012
France,1.2859,44456,1484732,13.4,32612.05079,762.8258559,32155.89616,34367.52343,2012
Australia,1.0359,35353,1131611,16.6,69902.63033,1549.521817,49312.76424,52881.8056,2012
Italy,1.2859,25216,843851,13.3,28106.53097,440.8653807,28430.77,28361.44912,2012
India,53.3743,582098,747833,24.1,72785.13218,11.14488213,969.4870318,1248.822896,2012
United Kingdom,1.5642,85675,4017209,10.9,28461.58183,1272.294668,36917.441,36538.23564,2013
Japan,97.5971,76473,3887328,8.5,4103268.994,253.0032563,32009.88662,32488.22596,2013
"Korea, South",1094.6749,80919,1872033,3.5,27381774.97,485.01957,17066.28777,20901.65801,2013
China,6.1478,1467563,1437924,12.8,44057.62639,94.72365881,3571.173879,5262.94989,2013
Brazil,2.157,982463,2108357,13,21098.94093,145.6754717,9914.995134,10414.89321,2013
Germany,1.3281,63451,2021597,16.6,36126.11388,1273.187795,34338.38707,39257.73989,2013
France,1.3281,45532,1601301,15.2,32631.58728,794.682476,33540.81877,35808.93088,2013
Australia,0.9683,36735,905834,18.7,70485.85729,1521.826517,50022.20456,52930.05827,2013
Italy,1.3281,26894,1307582,18.1,27271.09138,447.4221082,28691.95956,28810.48189,2013
India,58.5149,684176,885580,16.9,76522.61736,10.83970954,984.8723991,1249.209021,2013
United Kingdom,1.6484,85675,4165429,9.3,28984.53134,1329.775544,39965.54262,39971.56127,2014
Japan,105.7398,77860,3653454,9,4124113.573,224.77922,29934.55168,30650.29064,2014
"Korea, South",1052.2924,73200,2224787,3.2,28119533.94,515.0289795,18207.89818,22533.15082,2014
China,6.162,1767596,1473365,12.8,47034.87425,166.6415006,3917.22313,5754.297064,2014
Brazil,2.3512,1086906,2274305,18.8,21024.57281,147.945588,9946.00933,10186.72129,2014
Germany,1.3297,65340,2073675,20.1,36776.53567,1255.851573,35016.20721,40589.06727,2014
France,1.3297,47737,1675898,22.9,32785.9249,881.3244446,33734.04045,36130.04873,2014
Australia,0.9034,38729,985667,19.8,71201.36979,1382.792392,46059.14392,48159.36038,2014
Italy,1.3297,28402,1308707,21.2,27020.79352,474.7065019,28466.26881,28875.13354,2014
India,60.9953,808287,970293,19.4,81256.8666,13.50103698,1079.187623,1368.284906,2014
United Kingdom,1.5284,85675,4915379,12.22,29432.35872,1382.198285,37756.6867,37867.41769,2015
Japan,121.0491,75700,3792997,10.03,4178980.817,182.8835702,26375.44144,28057.78392,2015
"Korea, South",1130.9603,73402,2628570,5.36,28752128.27,548.015859,17433.30244,21959.15151,2015
China,6.2827,2626584,1775456,10.87,50027.92404,182.1961465,4242.360817,6091.615435,2015
Brazil,3.336,930306,2228291,16.28,20109.66934,99.55408563,7380.970035,7447.224088,2015
Germany,1.1096,65798,2284912,21.24,37093.83904,1044.332712,29800.8446,34943.00595,2015
France,1.1096,48378,1767343,22.1,33012.77788,716.2425158,28505.09163,30857.68707,2015
Australia,0.7522,40290,1147693,23.78,71722.84845,1201.461455,42710.79163,43915.72181,2015
Italy,1.1096,29132,1453103,21.24,27257.35446,402.0544377,24147.63619,24511.37283,2015
India,64.1073,961423,1045424,20.41,86779.92812,13.49919289,1114.862665,1404.923449,2015
United Kingdom,1.3555,85675,4587092,8.12,29783.49281,1337.803859,34592.27769,34430.33556,2016
Japan,108.6569,80948,3603786,12.35,4209284.547,203.0245228,29329.45661,31513.02521,2016
"Korea, South",1159.3422,77370,3049942,16.7,29461101.98,581.8438606,17621.39802,22420.54385,2016
China,6.64,2264412,1982516,7.25,53109.78475,181.41608,4365.571042,6163.984514,2016
Brazil,3.4839,503642,1725479,7.3,19285.45303,82.78883795,7373.338438,7405.912556,2016
Germany,1.1072,79124,2046288,15.38,37616.15819,1061.280055,30489.38168,35796.37979,2016
France,1.1072,53099,1641152,10.86,33241.4411,729.2876039,28828.99624,31055.08234,2016
Australia,0.7445,47083,1206771,26.02,72567.68008,1360.96592,38429.56364,38660.73451,2016
Italy,1.1072,35369,1350508,8.65,27653.09728,412.0572483,24487.07351,25361.60232,2016
India,67.1572,977825,988860,20.42,92851.92794,14.48385135,1204.340092,1504.456703,2016
United Kingdom,1.289,85675,4482707,8.47,30134.18512,1084.956675,33773.66842,34170.56251,2017
Japan,112.0986,79561,3595607,14.57,4297534.375,143.3677938,28811.1136,31107.44895,2017
"Korea, South",1129.0435,79107,3173915,12.34,30233342.85,648.0758119,18865.70178,24027.91605,2017
China,6.7569,1689893,2334839,5.91,56382.2886,185.9015648,4665.257737,6567.928606,2017
Brazil,3.191,579210,1912447,7.43,19333.93317,110.6220286,8296.243166,8397.118144,2017
Germany,1.1301,78085,2080425,17.18,38399.63044,1180.746914,31919.86082,37791.48357,2017
France,1.1301,53236,1667506,12.54,33990.03201,752.6941092,30050.78401,32671.75509,2017
Australia,0.7671,47454,1285466,23.29,73044.92425,1605.203834,40718.87248,41489.47676,2017
Italy,1.1301,35657,1323703,9.05,28169.85476,460.5965613,25572.08718,26537.35914,2017
India,65.0659,1009332,1032107,20.15,98455.68527,16.32678874,1387.14955,1678.499262,2017
United Kingdom,1.3363,85675,4659178,8.47,30354.10055,,36077.85235,,2018
Japan,110.3974,76506,3493313,14.57,4340205.94,,29597.69729,,2018
"Korea, South",1099.2926,74988,2991813,12.34,30938436.71,,20302.98833,,2018
China,6.609,1464810,2210597,5.91,59811.59536,,5213.020471,,2018
Brazil,3.6513,641820,2209372,7.43,19397.36354,,7497.803986,,2018
Germany,1.1817,70560,2062462,17.18,38858.79897,,34293.154,,2018
France,1.1817,49891,1767461,12.54,34513.29602,,32058.93946,,2018
Australia,0.7481,45778,1378035,23.29,74017.79319,,43083.1507,,2018
Italy,1.1817,34670,1362431,9.05,28437.50976,,27359.00874,,2018
India,68.3734,1006802,1073383,20.15,104076.6354,,1419.411063,,2018