Countries,Exchange Rate,Visa Issuances,Total Volume of Arrivals into US,Visa Refusal Rate,GDP per capita,International Tourism per capita,Consumption per Capita,Income Per Capita
Great Britain and Northern Ireland,1.5853,85675,3805681,20.6,28052.59974,1247.890512,36234.8372,36083.52447
Japan,79.818,75071,3771563,10.2,4017002.588,320.9850426,38344.3418,38612.86269
"Korea, South",1126.1621,90927,1295069,13,26732478.68,456.8539274,16126.60101,19980.90589
China - mainland,6.3093,1283250,1465503,8.5,41084.02141,75.49965018,3179.837047,4770.882242
Brazil,1.9535,1049689,1772940,3.2,20663.16901,130.5050574,9888.839076,10327.38604
Germany,1.2859,63241,1911441,16.4,36070.36785,1196.543553,32535.81875,37241.18439
France,1.2859,44456,1484732,13.4,32612.05079,762.8258559,32155.89616,34367.52343
Australia,1.0359,35353,1131611,16.6,69902.63033,1549.521817,49312.76424,52881.8056
Italy,1.2859,25216,843851,13.3,28106.53097,440.8653807,28430.77,28361.44912
India,53.3743,582098,747833,24.1,72785.13218,11.14488213,969.4870318,1248.822896